Customer,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,policy_type_id,policy_lvl_id,state_id
BU79786,2763.519279,No,Basic,Bachelor,2/24/11,Employed,F,56274,Suburban,Married,69,32,5,0,1,Offer1,Agent,384.811147,Two-Door Car,Medsize,1,1,1
QZ44356,6979.535903,No,Extended,Bachelor,1/31/11,Unemployed,F,0,Suburban,Single,94,13,42,0,8,Offer3,Agent,1131.464935,Four-Door Car,Medsize,2,2,2
AI49188,12887.43165,No,Premium,Bachelor,2/19/11,Employed,F,48767,Suburban,Married,108,18,38,0,2,Offer1,Agent,566.472247,Two-Door Car,Medsize,2,2,3
WW63253,7645.861827,No,Basic,Bachelor,1/20/11,Unemployed,M,0,Suburban,Married,106,18,65,0,7,Offer1,Call Center,529.881344,SUV,Medsize,1,3,4
HB64268,2813.692575,No,Basic,Bachelor,2/3/11,Employed,M,43836,Rural,Single,73,12,44,0,1,Offer1,Agent,138.130879,Four-Door Car,Medsize,2,4,1
OC83172,8256.2978,Yes,Basic,Bachelor,1/25/11,Employed,F,62902,Rural,Married,69,14,94,0,2,Offer2,Web,159.383042,Two-Door Car,Medsize,2,2,5
XZ87318,5380.898636,Yes,Basic,College,2/24/11,Employed,F,55350,Suburban,Married,67,0,13,0,9,Offer1,Agent,321.6,Four-Door Car,Medsize,1,1,5
CF85061,7216.100311,No,Premium,Master,1/18/11,Unemployed,M,0,Urban,Single,101,0,68,0,4,Offer1,Agent,363.02968,Four-Door Car,Medsize,1,1,2
DY87989,24127.50402,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Offer1,Agent,511.2,Four-Door Car,Medsize,1,1,5
BQ94931,7388.178085,No,Extended,College,2/17/11,Employed,F,28812,Urban,Married,93,17,7,0,8,Offer2,Branch,425.527834,Four-Door Car,Medsize,3,5,5
SX51350,4738.992022,No,Basic,College,2/21/11,Unemployed,M,0,Suburban,Single,67,23,5,0,3,Offer1,Agent,482.4,Four-Door Car,Small,2,2,4
VQ65197,8197.197078,No,Basic,College,1/6/11,Unemployed,F,0,Suburban,Married,110,27,87,0,3,Offer2,Agent,528.0,SUV,Medsize,2,2,4
DP39365,8798.797003,No,Premium,Master,2/6/11,Employed,M,77026,Urban,Married,110,9,82,2,3,Offer2,Agent,472.029737,Four-Door Car,Medsize,1,6,4
SJ95423,8819.018934,Yes,Basic,High School or Below,1/10/11,Employed,M,99845,Suburban,Married,110,23,25,1,8,Offer2,Branch,528.0,SUV,Medsize,1,1,2
IL66569,5384.431665,No,Basic,College,1/18/11,Employed,M,83689,Urban,Single,70,21,10,2,8,Offer4,Call Center,307.139132,Four-Door Car,Medsize,1,1,4
BW63560,7463.139377,No,Basic,Bachelor,1/17/11,Employed,F,24599,Rural,Married,64,12,50,1,2,Offer2,Branch,42.920271,Four-Door Car,Medsize,1,3,5
FV94802,2566.867823,No,Basic,High School or Below,2/6/11,Medical Leave,M,25049,Suburban,Married,67,14,7,0,1,Offer2,Call Center,454.245098,Two-Door Car,Medsize,2,2,3
OE15005,3945.241604,No,Basic,College,1/5/11,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Offer3,Call Center,647.442031,SUV,Medsize,2,7,4
WC83389,5710.333115,No,Basic,College,2/27/11,Employed,M,51148,Urban,Married,72,9,1,0,7,Offer2,Branch,308.981664,Four-Door Car,Medsize,2,7,5
FL50705,8162.617053,No,Premium,High School or Below,1/14/11,Employed,F,66140,Suburban,Married,101,11,21,0,3,Offer1,Call Center,484.8,Four-Door Car,Small,1,3,4
ZK25313,2872.051273,No,Basic,High School or Below,2/19/11,Employed,M,57749,Suburban,Single,74,31,21,0,1,Offer1,Branch,355.2,Two-Door Car,Medsize,2,7,5
SV62436,3041.791561,No,Extended,Bachelor,1/21/11,Disabled,F,13789,Suburban,Divorced,79,8,49,0,1,Offer4,Call Center,379.2,Four-Door Car,Medsize,2,2,1
YH23384,24127.50402,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Offer1,Agent,511.2,Four-Door Car,Medsize,2,2,2
TZ98966,2450.190996,No,Basic,Bachelor,2/24/11,Unemployed,F,0,Suburban,Single,73,4,44,3,1,Offer1,Branch,554.376763,Four-Door Car,Medsize,1,1,3
HM55802,2392.10789,No,Basic,Bachelor,2/5/11,Disabled,F,17870,Suburban,Married,61,30,91,0,1,Offer2,Branch,439.2,Four-Door Car,Medsize,1,3,4
FS42516,5802.065978,No,Basic,College,1/29/11,Employed,M,97541,Suburban,Married,72,22,1,0,3,Offer2,Call Center,389.185006,Four-Door Car,Large,2,2,5
US89481,3946.372085,No,Premium,Bachelor,2/28/11,Unemployed,F,0,Suburban,Single,111,15,47,0,1,Offer1,Agent,799.2,Four-Door Car,Small,2,2,4
HO30839,5346.916576,No,Extended,Master,2/12/11,Disabled,F,10511,Urban,Married,139,33,64,0,1,Offer1,Branch,516.237951,SUV,Medsize,1,6,1
GE62437,12902.56014,No,Premium,College,2/2/11,Employed,F,86584,Suburban,Single,111,33,54,2,2,Offer1,Call Center,532.8,Four-Door Car,Large,2,2,2
EJ77678,3235.360468,No,Extended,Master,2/7/11,Employed,F,75690,Suburban,Married,80,17,44,1,1,Offer2,Branch,384.0,Four-Door Car,Small,2,2,5
SV85652,2454.58354,No,Basic,College,2/28/11,Employed,M,23158,Suburban,Married,63,4,6,1,1,Offer4,Call Center,322.294043,Four-Door Car,Small,2,7,2
UL64533,18975.45611,No,Extended,High School or Below,1/22/11,Employed,M,65999,Urban,Married,237,1,14,0,6,Offer2,Agent,615.927769,Luxury SUV,Medsize,1,3,3
PF41800,4715.321344,No,Basic,Bachelor,1/25/11,Unemployed,M,0,Urban,Married,65,19,56,0,3,Offer1,Call Center,308.15089,Four-Door Car,Medsize,2,2,4
AO98601,5018.885233,No,Basic,Bachelor,1/18/11,Employed,M,54500,Suburban,Married,63,28,17,0,6,Offer1,Agent,302.4,Two-Door Car,Small,1,3,1
SK67821,4932.916345,No,Basic,Bachelor,2/13/11,Employed,F,37260,Rural,Married,62,19,42,0,8,Offer3,Web,15.437681,Four-Door Car,Medsize,1,6,5
YV55495,5744.229745,No,Basic,High School or Below,1/15/11,Employed,F,68987,Urban,Married,71,11,40,0,6,Offer1,Branch,204.475147,Four-Door Car,Medsize,2,4,2
KY38074,13891.73567,No,Premium,Bachelor,1/8/11,Employed,M,42305,Suburban,Married,117,10,62,0,2,Offer1,Agent,561.6,Four-Door Car,Small,2,2,4
