Fecha,ID_Anuncio,Impresiones,Clics,Interacciones,Conversiones,Quartil_25,Quartil_50,Quartil_75,Completado,Spend
2022-01-01,3001,1299,28,73,4,162,34,4,4,8.02
2022-01-01,3002,1024,2,3,0,150,104,46,29,0.7
2022-01-01,3003,1928,86,327,148,206,97,13,11,44.86
2022-01-01,3004,3917,76,1,0,950,293,29,26,27.99
2022-01-01,3005,3940,296,54,16,1911,429,81,74,100.36
2022-01-01,3006,2441,601,1009,187,256,61,46,29,194.61
2022-01-01,3007,4073,1074,2247,379,3913,3760,747,517,59.98
2022-01-01,3008,2424,418,193,6,354,41,13,8,137.2
2022-01-01,3009,4169,242,1123,516,672,82,24,22,76.96
2022-01-01,3010,2460,22,27,3,800,164,20,15,4.71
2022-01-01,3011,1301,37,68,18,201,27,3,1,12.98
2022-01-01,3012,3149,366,1021,293,315,51,8,8,147.12
2022-01-01,3013,3206,443,1074,31,375,62,10,9,113.84
2022-01-01,3014,2824,202,459,49,684,76,19,9,39.49
2022-01-01,3015,2549,181,702,15,392,58,6,6,11.71
2022-01-01,3016,2839,207,971,47,844,223,33,28,89.87
2022-01-01,3017,4154,90,246,110,3594,2375,756,631,17.21
2022-01-01,3018,2820,252,53,0,1291,285,119,67,73.32
2022-01-01,3019,1826,119,350,165,1073,231,48,31,31.0
2022-01-01,3020,4222,91,218,84,1583,1450,233,133,15.75
2022-01-01,3021,3601,110,34,3,1158,219,25,16,45.06
2022-01-01,3022,1668,106,121,9,238,27,8,7,21.16
2022-01-01,3023,2361,653,2224,204,282,69,7,4,102.79
2022-01-01,3024,3692,439,777,224,3642,496,119,74,30.62
2022-01-01,3025,3467,302,195,25,979,125,58,29,94.52
2022-01-01,3026,2881,517,127,25,1994,786,372,346,224.31
2022-01-01,3027,3803,411,137,10,1853,214,43,35,92.89
2022-01-01,3028,2125,109,217,42,378,57,7,5,21.19
2022-01-01,3029,1824,201,122,56,212,50,23,20,60.21
2022-01-01,3030,1692,88,56,24,210,27,8,6,6.25
2022-01-01,3031,4366,42,1,0,865,482,343,251,14.36
2022-01-01,3032,1393,183,111,33,1288,175,38,23,26.84
2022-01-01,3033,1251,197,201,36,554,92,23,19,86.91
2022-01-01,3034,513,38,37,16,140,15,12,8,16.81
2022-01-01,3035,2155,57,112,7,382,46,16,10,21.35
2022-01-01,3036,1325,47,78,16,235,58,9,4,11.77
2022-01-01,3037,1293,82,155,30,510,55,16,16,11.62
2022-01-01,3038,3550,276,838,171,461,90,11,8,21.79
2022-01-01,3039,3393,176,28,9,466,74,8,4,45.5
2022-01-01,3040,2765,387,361,76,342,93,12,6,104.17
2022-01-01,3041,4911,1140,439,88,696,69,11,7,101.07
2022-01-01,3042,4304,1763,921,52,1067,124,23,13,409.7
2022-01-01,3043,551,69,201,87,519,61,9,8,21.0
2022-01-01,3044,303,112,310,22,82,40,8,8,20.86
2022-01-01,3045,3701,218,742,170,853,194,153,143,76.55
2022-01-01,3046,1477,182,410,100,211,23,2,2,60.99
2022-01-01,3047,3846,5,2,0,609,222,70,47,1.14
2022-01-01,3048,1735,487,362,80,448,56,6,4,33.17
2022-01-01,3049,2863,219,439,142,367,61,6,3,95.37
2022-01-01,3050,1622,616,497,89,1375,165,23,23,140.44
2022-01-02,3001,3184,443,537,51,832,101,24,13,92.16
2022-01-02,3002,2027,140,330,49,204,45,7,3,59.23
2022-01-02,3003,3808,476,686,196,691,319,66,50,173.24
2022-01-02,3004,1497,440,834,118,711,258,32,19,137.14
2022-01-02,3005,3448,246,330,71,830,139,28,19,90.79
2022-01-02,3006,2058,184,713,135,512,264,31,28,86.91
2022-01-02,3007,2849,262,350,50,345,38,10,7,84.07
2022-01-02,3008,1118,197,242,73,352,130,14,8,79.18
2022-01-02,3009,712,39,134,14,156,17,8,8,4.01
2022-01-02,3010,1985,77,42,6,399,49,34,34,13.71
2022-01-02,3011,4031,282,309,22,636,67,9,6,82.17
2022-01-02,3012,3784,486,872,75,575,156,17,14,49.11
2022-01-02,3013,939,79,10,0,232,29,8,5,12.78
2022-01-02,3014,4320,78,318,142,1380,451,73,69,16.54
2022-01-02,3015,3483,335,617,66,395,167,16,16,85.14
2022-01-02,3016,835,85,172,37,92,21,3,2,18.65
2022-01-02,3017,222,17,50,3,22,3,1,0,8.45
2022-01-02,3018,4760,2049,203,64,3992,553,472,442,900.0
2022-01-02,3019,4357,614,167,47,517,100,30,30,141.22
2022-01-02,3020,4968,104,91,7,4070,408,97,81,28.22
2022-01-02,3021,2210,40,68,4,1817,252,36,35,16.5
2022-01-02,3022,255,117,32,12,30,3,0,0,26.82
2022-01-02,3023,173,43,79,16,29,4,0,0,8.69
2022-01-02,3024,2085,471,445,115,481,55,27,21,225.81
2022-01-02,3025,4524,410,1849,865,2699,1046,161,128,125.6
2022-01-02,3026,4784,1159,1423,627,1126,183,51,51,185.49
2022-01-02,3027,4040,96,68,17,1280,171,21,14,38.48
2022-01-02,3028,2824,433,365,30,386,83,9,6,161.18
2022-01-02,3029,3611,421,719,210,981,212,93,59,149.9
2022-01-02,3030,2355,217,232,48,1579,970,553,279,103.81
2022-01-02,3031,386,51,111,2,86,16,4,4,19.48
2022-01-02,3032,292,12,13,3,58,11,2,1,2.21
2022-01-02,3033,2525,364,156,9,301,68,21,11,108.29
2022-01-02,3034,3933,140,81,26,473,53,8,8,62.0
2022-01-02,3035,2065,410,1429,135,232,36,7,3,25.13
2022-01-02,3036,2999,26,12,0,328,39,13,11,7.79
2022-01-02,3037,1553,79,175,26,508,422,50,48,17.71
2022-01-02,3038,2711,5,4,1,351,39,4,4,2.45
2022-01-02,3039,4143,1156,1783,39,537,95,12,6,335.28
2022-01-02,3040,2198,97,5,2,547,65,13,13,49.61
2022-01-02,3041,3045,292,208,56,389,66,6,3,72.87
2022-01-02,3042,660,21,40,5,85,10,2,1,1.98
2022-01-02,3043,1584,378,87,13,487,97,41,41,167.24
2022-01-02,3044,1948,202,252,88,767,187,19,19,57.38
2022-01-02,3045,1470,112,537,102,278,28,3,1,31.62
2022-01-02,3046,3527,295,1035,443,2680,1067,134,130,133.15
2022-01-02,3047,1411,92,234,32,1169,117,45,35,23.36
2022-01-02,3048,648,42,3,1,242,98,24,20,3.5
2022-01-02,3049,1356,496,172,36,258,36,4,2,207.01
2022-01-02,3050,2733,195,665,48,1108,512,166,160,56.13
2022-01-03,3001,1625,257,667,123,193,36,4,3,43.05
2022-01-03,3002,4018,461,898,198,3687,3172,595,566,211.22
2022-01-03,3003,4912,82,74,0,561,74,22,19,26.37
2022-01-03,3004,2617,72,210,48,897,251,26,15,23.64
2022-01-03,3005,2066,381,464,68,580,106,11,11,121.47
2022-01-03,3006,2596,837,2482,679,375,73,9,5,288.52
2022-01-03,3007,490,5,3,1,50,5,0,0,0.65
2022-01-03,3008,4696,282,1036,494,931,129,73,61,108.37
2022-01-03,3009,2384,7,14,4,495,76,10,10,2.84
2022-01-03,3010,556,4,11,1,130,29,7,5,2.46
2022-01-03,3011,670,170,140,36,388,120,29,24,32.94
2022-01-03,3012,1794,189,919,176,1191,277,37,32,85.45
2022-01-03,3013,2835,451,1352,444,389,64,60,41,205.89
2022-01-03,3014,712,63,23,8,89,21,2,2,14.46
2022-01-03,3015,2615,101,298,144,292,40,6,6,32.32
2022-01-03,3016,3786,189,250,58,1291,258,41,22,87.98
2022-01-03,3017,1817,876,341,130,220,47,7,4,113.7
2022-01-03,3018,518,24,41,1,88,34,3,1,3.89
2022-01-03,3019,3683,190,240,39,587,59,11,7,70.28
2022-01-03,3020,3193,61,186,7,516,123,20,10,12.07
